Time - ADC Voltage	Amplitude - ADC Voltage
0	-0,00244141
1	-0,00244141
2	-0,00213623
3	-0,00305176
4	-0,00335693
5	-0,00366211
6	-0,00396729
7	-0,00305176
8	-0,00183105
9	-0,00152588
10	-0,00152588
11	-0,000305176
12	-0,00213623
13	-0,00213623
14	-0,00335693
15	-0,00396729
16	-0,00396729
17	-0,00457764
18	-0,00488281
19	-0,00213623
20	-0,00244141
21	-0,00213623
22	-0,00244141
23	-0,00305176
24	-0,00183105
25	-0,00213623
26	-0,00244141
27	-0,00183105
28	-0,00274658
29	-0,00244141
30	-0,00244141
31	-0,00213623
32	-0,00244141
33	-0,00183105
34	-0,00244141
35	-0,00244141
36	-0,00152588
37	-0,00244141
38	-0,00244141
39	0,0012207
40	0,00549316
41	0,0100708
42	0,0143433
43	0,0186157
44	0,0234985
45	0,0274658
46	0,0317383
47	0,0372314
48	0,0418091
49	0,0460815
50	0,0500488
51	0,0552368
52	0,0588989
53	0,0637817
54	0,0680542
55	0,0720215
56	0,0769043
57	0,0811768
58	0,0857544
59	0,0915527
60	0,0967407
61	0,100708
62	0,105286
63	0,109558
64	0,114136
65	0,118713
66	0,122986
67	0,127563
68	0,132751
69	0,137329
70	0,141907
71	0,14679
72	0,150757
73	0,15564
74	0,159912
75	0,163879
76	0,169067
77	0,173035
78	0,177002
79	0,1828
80	0,186462
81	0,19104
82	0,195618
83	0,200195
84	0,203857
85	0,20874
86	0,213318
87	0,216675
88	0,222473
89	0,226135
90	0,230408
91	0,234985
92	0,239868
93	0,244141
94	0,249023
95	0,252991
96	0,257874
97	0,261841
98	0,266418
99	0,270691
100	0,275269
101	0,279236
102	0,283813
103	0,288696
104	0,292358
105	0,297241
106	0,301208
107	0,305481
108	0,310364
109	0,314636
110	0,319214
111	0,323486
112	0,327759
113	0,332336
114	0,336609
115	0,340881
116	0,344849
117	0,349731
118	0,353699
119	0,358582
120	0,363464
121	0,367126
122	0,371399
123	0,375671
124	0,380249
125	0,384521
126	0,389099
127	0,393372
128	0,397949
129	0,401611
130	0,405579
131	0,410156
132	0,415039
133	0,418701
134	0,422974
135	0,428467
136	0,432739
137	0,437622
138	0,441895
139	0,445557
140	0,450439
141	0,454712
142	0,458679
143	0,463562
144	0,466919
145	0,471497
146	0,476379
147	0,480042
148	0,484619
149	0,489502
150	0,492859
151	0,498352
152	0,501709
153	0,506592
154	0,510864
155	0,514832
156	0,518799
157	0,523682
158	0,527649
159	0,531616
160	0,536499
161	0,540466
162	0,545349
163	0,549622
164	0,553894
165	0,558167
166	0,562134
167	0,566711
168	0,570679
169	0,575256
170	0,578308
171	0,583191
172	0,588379
173	0,592346
174	0,596008
175	0,600281
176	0,604858
177	0,609131
178	0,613098
179	0,617371
180	0,621643
181	0,626831
182	0,629883
183	0,63446
184	0,639343
185	0,643616
186	0,647888
187	0,651855
188	0,656128
189	0,6604
190	0,664673
191	0,668945
192	0,673218
193	0,677185
194	0,681152
195	0,686035
196	0,690002
197	0,694275
198	0,698853
199	0,703125
200	0,707092
201	0,711975
202	0,715332
203	0,719604
204	0,724487
205	0,728455
206	0,732117
207	0,737
208	0,741272
209	0,744934
210	0,749512
211	0,753479
212	0,758362
213	0,762634
214	0,765686
215	0,769958
216	0,774231
217	0,778503
218	0,783081
219	0,787964
220	0,792542
221	0,797119
222	0,800781
223	0,805054
224	0,809021
225	0,812683
226	0,816345
227	0,821533
228	0,824585
229	0,828857
230	0,83374
231	0,838013
232	0,841675
233	0,846558
234	0,850525
235	0,854492
236	0,858765
237	0,863037
238	0,867615
239	0,871582
240	0,875244
241	0,880127
242	0,883484
243	0,887451
244	0,891724
245	0,896301
246	0,899658
247	0,904541
248	0,908203
249	0,913086
250	0,917664
251	0,921631
252	0,925903
253	0,930176
254	0,933533
255	0,9375
256	0,941467
257	0,94574
258	0,949707
259	0,953979
260	0,959167
261	0,963135
262	0,967407
263	0,971375
264	0,976257
265	0,980225
266	0,983887
267	0,989075
268	0,992126
269	0,996094
270	1,00037
271	1,00372
272	1,0083
273	1,01288
274	1,01685
275	1,02081
276	1,0257
277	1,02905
278	1,03302
279	1,03729
280	1,04156
281	1,04584
282	1,05072
283	1,05347
284	1,05835
285	1,06293
286	1,06628
287	1,07025
288	1,07483
289	1,07849
290	1,08276
291	1,08734
292	1,0907
293	1,09497
294	1,09802
295	1,1026
296	1,10657
297	1,10992
298	1,1142
299	1,11938
300	1,12396
301	1,12823
302	1,13312
303	1,13617
304	1,14044
305	1,14471
306	1,14899
307	1,15295
308	1,15692
309	1,16089
310	1,16425
311	1,16913
312	1,17279
313	1,17645
314	1,18103
315	1,18561
316	1,18927
317	1,19324
318	1,1972
319	1,20148
320	1,20544
321	1,21002
322	1,21368
323	1,21765
324	1,22192
325	1,2265
326	1,22955
327	1,23322
328	1,2384
329	1,24176
330	1,24634
331	1,25061
332	1,25397
333	1,25824
334	1,2619
335	1,26526
336	1,26984
337	1,2738
338	1,27747
339	1,28174
340	1,28571
341	1,29089
342	1,29578
343	1,29913
344	1,30402
345	1,30798
346	1,31165
347	1,31561
348	1,31958
349	1,32294
350	1,3269
351	1,33118
352	1,33484
353	1,33911
354	1,34369
355	1,34705
356	1,35132
357	1,35559
358	1,35925
359	1,36322
360	1,36749
361	1,37146
362	1,37573
363	1,3797
364	1,38367
365	1,38794
366	1,39099
367	1,39557
368	1,39923
369	1,4035
370	1,40747
371	1,41205
372	1,41541
373	1,41907
374	1,42303
375	1,4267
376	1,43066
377	1,43494
378	1,43951
379	1,44318
380	1,44836
381	1,45172
382	1,45569
383	1,46027
384	1,46332
385	1,46729
386	1,47186
387	1,47522
388	1,47919
389	1,48346
390	1,48743
391	1,49078
392	1,49536
393	1,49902
394	1,5033
395	1,50757
396	1,51093
397	1,5152
398	1,51855
399	1,52313
400	1,5271
401	1,53046
402	1,53473
403	1,53931
404	1,54297
405	1,54724
406	1,5509
407	1,55487
408	1,55853
409	1,56311
410	1,56647
411	1,57013
412	1,57501
413	1,57745
414	1,58142
415	1,586
416	1,58936
417	1,59363
418	1,5979
419	1,60217
420	1,60614
421	1,61041
422	1,61469
423	1,61896
424	1,62231
425	1,62628
426	1,62994
427	1,63391
428	1,63788
429	1,64185
430	1,6452
431	1,64978
432	1,65344
433	1,6571
434	1,66107
435	1,66534
436	1,66901
437	1,67297
438	1,67755
439	1,6806
440	1,68488
441	1,68854
442	1,6922
443	1,69647
444	1,70044
445	1,7041
446	1,70776
447	1,71204
448	1,716
449	1,71967
450	1,72333
451	1,72729
452	1,73126
453	1,73462
454	1,73859
455	1,74286
456	1,74622
457	1,75049
458	1,75507
459	1,75934
460	1,76361
461	1,76727
462	1,77032
463	1,77521
464	1,77887
465	1,78253
466	1,78528
467	1,78986
468	1,79321
469	1,79688
470	1,80145
471	1,80511
472	1,80908
473	1,81305
474	1,81671
475	1,82037
476	1,82373
477	1,828
478	1,83228
479	1,83533
480	1,84021
481	1,84357
482	1,84753
483	1,85089
484	1,85547
485	1,85883
486	1,86249
487	1,86737
488	1,87073
489	1,87378
490	1,87866
491	1,88202
492	1,88538
493	1,88904
494	1,89301
495	1,89636
496	1,90033
497	1,90399
498	1,90796
499	1,91193
500	1,91528
501	1,91895
502	1,922
503	1,92749
504	1,93024
505	1,93481
506	1,93756
507	1,94214
508	1,94611
509	1,94977
510	1,95404
511	1,9574
512	1,96136
513	1,96533
514	1,96869
515	1,97205
516	1,97662
517	1,97998
518	1,98364
519	1,98792
520	1,99219
521	1,99524
522	1,99951
523	2,00256
524	2,00714
525	2,0108
526	2,01447
527	2,01782
528	2,02148
529	2,02576
530	2,02942
531	2,03339
532	2,03735
533	2,04102
534	2,04407
535	2,04742
536	2,05231
537	2,05505
538	2,05902
539	2,0636
540	2,06665
541	2,07001
542	2,07458
543	2,07764
544	2,08099
545	2,08557
546	2,08954
547	2,09229
548	2,09656
549	2,09991
550	2,10388
551	2,10785
552	2,11182
553	2,11487
554	2,11914
555	2,1228
556	2,12677
557	2,13013
558	2,13348
559	2,13745
560	2,1405
561	2,14417
562	2,14935
563	2,1521
564	2,15576
565	2,15973
566	2,1637
567	2,16675
568	2,17102
569	2,17468
570	2,17743
571	2,18201
572	2,18536
573	2,18903
574	2,19299
575	2,19574
576	2,20001
577	2,20306
578	2,20703
579	2,211
580	2,21436
581	2,21802
582	2,22229
583	2,22534
584	2,22931
585	2,23267
586	2,23663
587	2,2403
588	2,24426
589	2,24792
590	2,25189
591	2,25464
592	2,25708
593	2,26166
594	2,26471
595	2,26868
596	2,27173
597	2,27539
598	2,27936
599	2,28302
600	2,28668
601	2,29004
602	2,29309
603	2,29797
604	2,30103
605	2,30499
606	2,30835
607	2,31201
608	2,31567
609	2,31842
610	2,32239
611	2,32666
612	2,32941
613	2,33368
614	2,33765
615	2,341
616	2,34406
617	2,34833
618	2,35168
619	2,35504
620	2,35931
621	2,36237
622	2,36633
623	2,37091
624	2,37427
625	2,37854
626	2,38251
627	2,38586
628	2,38861
629	2,39288
630	2,39594
631	2,3999
632	2,40356
633	2,40631
634	2,41058
635	2,41455
636	2,4176
637	2,42126
638	2,42493
639	2,42828
640	2,43195
641	2,43591
642	2,43866
643	2,44263
644	2,44537
645	2,44965
646	2,45331
647	2,45667
648	2,46002
649	2,46368
650	2,46765
651	2,4704
652	2,47467
653	2,47803
654	2,48199
655	2,48535
656	2,48932
657	2,49237
658	2,49634
659	2,49969
660	2,50305
661	2,50641
662	2,50946
663	2,51343
664	2,51709
665	2,52014
666	2,52411
667	2,52747
668	2,53082
669	2,5351
670	2,53845
671	2,54181
672	2,54608
673	2,54852
674	2,55188
675	2,55615
676	2,5592
677	2,56256
678	2,56653
679	2,56897
680	2,57324
681	2,5769
682	2,57996
683	2,58392
684	2,58759
685	2,59003
686	2,59369
687	2,59705
