Time - ADC Voltage	Amplitude - ADC Voltage
0,0000000	0,0151062
0,1000000	0,0152588
0,2000000	0,0151062
0,3000000	0,0152588
0,4000000	0,0154114
0,5000000	0,0151062
0,6000000	0,0152588
0,7000000	0,0154114
0,8000000	0,0152588
0,9000000	0,0152588
1,0000000	0,0155640
1,1000000	0,0152588
1,2000000	0,0152588
1,3000000	0,0152588
1,4000000	0,0152588
1,5000000	0,0152588
1,6000000	0,0155640
1,7000000	0,0152588
1,8000000	0,0154114
1,9000000	0,0155640
2,0000000	0,0155640
2,1000000	0,0157166
2,2000000	0,0157166
2,3000000	0,0155640
2,4000000	0,0158691
2,5000000	0,0160217
2,6000000	0,0157166
2,7000000	0,0158691
2,8000000	0,0158691
2,9000000	0,0158691
3,0000000	0,0161743
3,1000000	0,0161743
3,2000000	0,0160217
3,3000000	0,0158691
3,4000000	0,0161743
3,5000000	0,0163269
3,6000000	0,0164795
3,7000000	0,0166321
3,8000000	0,0164795
3,9000000	0,0175476
4,0000000	0,0216675
4,1000000	0,0262451
4,2000000	0,0306702
4,3000000	0,0346375
4,4000000	0,0390625
4,5000000	0,0430298
4,6000000	0,0474548
4,7000000	0,0517273
4,8000000	0,0563049
4,9000000	0,0607300
5,0000000	0,0650024
5,1000000	0,0689697
5,2000000	0,0738525
5,3000000	0,0784302
5,4000000	0,0828552
5,5000000	0,0874329
5,6000000	0,0918579
5,7000000	0,0965881
5,8000000	0,1011658
5,9000000	0,1057434
6,0000000	0,1097107
6,1000000	0,1150513
6,2000000	0,1197815
6,3000000	0,1239014
6,4000000	0,1287842
6,5000000	0,1333618
6,6000000	0,1376343
6,7000000	0,1428223
6,8000000	0,1473999
6,9000000	0,1513672
7,0000000	0,1565552
7,1000000	0,1614380
7,2000000	0,1660156
7,3000000	0,1712036
7,4000000	0,1756287
7,5000000	0,1803589
7,6000000	0,1850891
7,7000000	0,1896667
7,8000000	0,1943970
7,9000000	0,1994324
8,0000000	0,2041626
8,1000000	0,2090454
8,2000000	0,2139282
8,3000000	0,2182007
8,4000000	0,2230835
8,5000000	0,2284241
8,6000000	0,2326965
8,7000000	0,2378845
8,8000000	0,2430725
8,9000000	0,2476501
9,0000000	0,2525330
9,1000000	0,2577209
9,2000000	0,2619934
9,3000000	0,2673340
9,4000000	0,2720642
9,5000000	0,2764893
9,6000000	0,2819824
9,7000000	0,2870178
9,8000000	0,2914429
9,9000000	0,2964783
10,0000000	0,3018188
10,1000000	0,3065491
10,2000000	0,3120422
10,3000000	0,3170776
10,4000000	0,3221130
10,5000000	0,3273010
10,6000000	0,3318787
10,7000000	0,3363037
10,8000000	0,3413391
10,9000000	0,3462219
11,0000000	0,3517151
11,1000000	0,3565979
11,2000000	0,3614807
11,3000000	0,3668213
11,4000000	0,3718567
11,5000000	0,3767395
11,6000000	0,3819275
11,7000000	0,3871155
11,8000000	0,3919983
11,9000000	0,3970337
12,0000000	0,4019165
12,1000000	0,4071045
12,2000000	0,4124451
12,3000000	0,4179382
12,4000000	0,4225159
12,5000000	0,4278564
12,6000000	0,4328918
12,7000000	0,4379272
12,8000000	0,4432678
12,9000000	0,4489136
13,0000000	0,4534912
13,1000000	0,4586792
13,2000000	0,4634094
13,3000000	0,4687500
13,4000000	0,4740906
13,5000000	0,4791260
13,6000000	0,4844666
13,7000000	0,4898071
13,8000000	0,4946899
13,9000000	0,5001831
14,0000000	0,5053711
14,1000000	0,5102539
14,2000000	0,5162048
14,3000000	0,5209351
14,4000000	0,5261230
14,5000000	0,5313110
14,6000000	0,5366516
14,7000000	0,5415344
14,8000000	0,5470276
14,9000000	0,5523682
15,0000000	0,5572510
15,1000000	0,5625916
15,2000000	0,5680847
15,3000000	0,5728149
15,4000000	0,5783081
15,5000000	0,5836487
15,6000000	0,5888367
15,7000000	0,5940247
15,8000000	0,5993652
15,9000000	0,6045532
16,0000000	0,6103516
16,1000000	0,6149292
16,2000000	0,6205750
16,3000000	0,6259155
16,4000000	0,6307983
16,5000000	0,6361389
16,6000000	0,6416321
16,7000000	0,6466675
16,8000000	0,6520081
16,9000000	0,6575012
17,0000000	0,6623840
17,1000000	0,6675720
17,2000000	0,6733704
17,3000000	0,6781006
17,4000000	0,6838989
17,5000000	0,6893921
17,6000000	0,6942749
17,7000000	0,6997681
17,8000000	0,7049561
17,9000000	0,7101440
18,0000000	0,7151794
18,1000000	0,7209778
18,2000000	0,7264709
18,3000000	0,7324219
18,4000000	0,7380676
18,5000000	0,7435608
18,6000000	0,7485962
18,7000000	0,7533264
18,8000000	0,7582092
