Time - ADC Voltage	Amplitude - ADC Voltage
0,0000000	0,0144958
0,1000000	0,0143433
0,2000000	0,0146484
0,3000000	0,0143433
0,4000000	0,0148010
0,5000000	0,0144958
0,6000000	0,0146484
0,7000000	0,0146484
0,8000000	0,0146484
0,9000000	0,0144958
1,0000000	0,0144958
1,1000000	0,0148010
1,2000000	0,0144958
1,3000000	0,0143433
1,4000000	0,0146484
1,5000000	0,0143433
1,6000000	0,0148010
1,7000000	0,0144958
1,8000000	0,0146484
1,9000000	0,0148010
2,0000000	0,0146484
2,1000000	0,0148010
2,2000000	0,0149536
2,3000000	0,0148010
2,4000000	0,0146484
2,5000000	0,0151062
2,6000000	0,0148010
2,7000000	0,0148010
2,8000000	0,0149536
2,9000000	0,0149536
3,0000000	0,0152588
3,1000000	0,0151062
3,2000000	0,0151062
3,3000000	0,0151062
3,4000000	0,0152588
3,5000000	0,0154114
3,6000000	0,0151062
3,7000000	0,0151062
3,8000000	0,0151062
3,9000000	0,0155640
4,0000000	0,0175476
4,1000000	0,0198364
4,2000000	0,0225830
4,3000000	0,0250244
4,4000000	0,0277710
4,5000000	0,0308228
4,6000000	0,0332642
4,7000000	0,0364685
4,8000000	0,0389099
4,9000000	0,0410461
5,0000000	0,0437927
5,1000000	0,0459290
5,2000000	0,0476074
5,3000000	0,0491333
5,4000000	0,0503540
5,5000000	0,0514221
5,6000000	0,0524902
5,7000000	0,0535583
5,8000000	0,0535583
5,9000000	0,0538635
6,0000000	0,0540161
6,1000000	0,0544739
6,2000000	0,0547791
6,3000000	0,0549316
6,4000000	0,0550842
6,5000000	0,0556946
6,6000000	0,0564575
6,7000000	0,0576782
6,8000000	0,0592041
6,9000000	0,0605774
7,0000000	0,0630188
7,1000000	0,0660706
7,2000000	0,0689697
7,3000000	0,0726318
7,4000000	0,0762939
7,5000000	0,0801086
7,6000000	0,0851440
7,7000000	0,0904846
7,8000000	0,0953674
7,9000000	0,1008606
8,0000000	0,1072693
8,1000000	0,1127625
8,2000000	0,1191711
8,3000000	0,1249695
8,4000000	0,1306152
8,5000000	0,1361084
8,6000000	0,1406860
8,7000000	0,1451111
8,8000000	0,1495361
8,9000000	0,1528931
9,0000000	0,1554871
9,1000000	0,1574707
9,2000000	0,1582336
9,3000000	0,1585388
9,4000000	0,1582336
9,5000000	0,1568604
9,6000000	0,1554871
9,7000000	0,1530457
9,8000000	0,1498413
9,9000000	0,1466370
10,0000000	0,1431274
10,1000000	0,1391602
10,2000000	0,1356506
10,3000000	0,1321411
10,4000000	0,1281738
10,5000000	0,1257324
10,6000000	0,1232910
10,7000000	0,1216125
10,8000000	0,1211548
10,9000000	0,1214600
11,0000000	0,1229858
11,1000000	0,1257324
11,2000000	0,1295471
11,3000000	0,1345825
11,4000000	0,1402283
11,5000000	0,1470947
11,6000000	0,1547241
11,7000000	0,1644897
11,8000000	0,1734924
11,9000000	0,1838684
12,0000000	0,1942444
12,1000000	0,2046204
12,2000000	0,2149963
12,3000000	0,2252197
12,4000000	0,2348328
12,5000000	0,2432251
12,6000000	0,2513123
12,7000000	0,2572632
12,8000000	0,2622986
12,9000000	0,2658081
